ID,Name,BasketArea,DeepPaint,LeftBaseline,LeftCorner,LeftWing2,LeftWing3,MidrangeSlot,RightBaseline,RightCorner3,RightWing2,RightWing3,TopOfArc
144,Jrue Holiday,116,156,35,17,25,35,22,29,20,16,31,32
145,Justin Holiday,18,52,4,10,10,35,16,16,18,10,37,8
146,Jusuf Nurkic,113,225,7,1,7,0,9,12,0,8,0,1
147,Kawhi Leonard,148,186,79,43,19,40,29,117,33,52,51,25
148,Kelly Olynyk,64,203,21,10,8,48,19,20,9,18,58,49
149,Kemba Walker,141,267,53,17,51,91,70,60,9,59,80,78
150,Kenneth Faried,195,479,15,1,5,0,14,14,1,6,0,2
151,Kent Bazemore,40,125,6,34,3,30,7,13,30,5,19,19
152,Kentavious Caldwell-Pope,92,239,60,70,39,144,21,50,47,27,124,53
153,Kevin Durant,62,103,53,8,21,35,23,28,7,18,50,59
154,Kevin Love,141,227,113,82,15,131,7,43,47,14,77,55
155,Kevin Martin,75,71,108,34,50,74,52,55,5,23,33,45
156,Kevin Seraphin,156,120,51,0,13,0,16,81,0,11,0,1
157,Khris Middleton,95,164,166,68,36,76,30,77,41,33,54,28
158,KJ McDaniels,41,184,20,25,5,63,16,15,6,3,31,25
159,Klay Thompson,171,247,74,57,52,143,63,72,73,75,193,76
160,Kobe Bryant,98,120,72,7,43,63,50,89,13,57,77,23
161,Kosta Koufos,145,171,14,0,4,0,14,5,0,5,0,0
162,Kris Humphries,51,156,33,1,27,2,76,60,4,36,0,0
163,Kyle Korver,13,30,15,56,24,90,22,29,58,18,113,132
164,Kyle Lowry,134,242,111,50,64,161,41,27,13,33,72,93
165,Kyle O'Quinn,52,76,13,0,13,10,21,12,6,12,3,23
166,Kyle Singler,40,83,25,39,10,54,16,24,61,6,50,38
167,Kyrie Irving,173,373,80,37,32,111,47,103,44,49,122,61
168,LaMarcus Aldridge,209,313,357,19,189,37,101,65,13,76,14,21
169,Lance Stephenson,85,169,30,4,58,39,31,25,5,47,22,33
170,Lance Thomas,94,110,70,12,17,0,24,72,8,33,1,0
171,Langston Galloway,41,124,40,9,29,56,32,32,17,37,61,28
172,Lavoy Allen,57,102,20,0,20,0,38,35,0,27,0,0
173,Leandro Barbosa,49,156,20,13,10,32,11,11,18,17,28,19
174,LeBron James,142,455,153,18,41,136,43,59,23,47,102,57
175,Lou Williams,110,121,132,73,32,173,24,47,31,15,65,104
176,Luc Mbah a Moute,34,216,35,17,40,38,34,34,17,41,74,55
177,Luis Scola,102,263,42,9,48,1,88,37,2,42,3,2
178,Luol Deng,90,257,67,45,26,33,14,65,70,49,62,7
179,Manu Ginobili,80,178,27,24,5,78,12,19,20,10,87,48
180,Marc Gasol,335,283,131,0,105,4,126,37,0,38,3,7
181,Marcin Gortat,186,388,94,0,4,1,23,71,0,6,1,1
182,Marco Belinelli,43,67,26,27,21,49,24,30,27,29,74,52
183,Marcus Morris,76,133,97,57,29,94,27,58,49,30,68,37
184,Marcus Smart,52,93,8,34,11,84,20,6,16,15,78,56
185,Marcus Thornton,41,87,14,13,13,31,16,12,11,19,66,21
186,Mario Chalmers,97,222,30,48,11,63,10,29,46,16,62,21
187,Markel Brown,18,69,18,16,9,13,12,7,11,13,15,8
188,Markieff Morris,172,273,157,11,45,34,48,185,16,41,46,70
189,Marreese Speights,83,224,28,2,70,1,76,56,2,91,7,4
190,Marvin Williams,37,86,48,40,13,64,10,20,29,16,55,76
191,Mason Plumlee,74,402,2,0,0,0,1,7,0,0,0,0
192,Matt Barnes,31,189,10,83,1,92,0,13,97,4,73,30
193,Matthew Dellavedova,61,23,19,22,6,38,4,21,33,6,44,30
194,Meyers Leonard,35,53,9,13,6,24,10,12,13,8,24,37
195,Michael Beasley,37,52,22,6,13,8,6,38,4,10,11,5
196,Michael Carter-Williams,183,347,58,10,58,64,43,35,9,42,31,37
197,Michael Kidd-Gilchrist,60,255,40,0,23,0,21,53,0,30,0,0
198,Mike Conley,185,262,27,20,35,74,29,35,26,31,101,53
199,Mike Dunleavy,21,94,12,29,24,74,27,21,20,19,99,39
200,Mike Scott,69,92,37,18,10,51,8,34,20,11,38,63
201,Miles Plumlee,55,173,9,0,1,0,4,12,0,0,0,0
202,Mirza Teletovic,22,73,9,14,6,51,5,8,4,3,66,57
203,Monta Ellis,180,382,73,38,74,69,146,80,20,135,92,64
204,Nene,78,280,45,0,18,0,55,84,3,36,2,0
205,Nerlens Noel,180,343,57,0,12,0,19,34,0,8,0,0
206,Nick Collison,26,107,13,18,8,11,19,12,16,8,6,9
207,Nick Young,33,60,26,27,40,76,31,34,18,27,46,56
208,Nicolas Batum,19,115,23,35,18,109,21,62,33,33,102,29
209,Nik Stauskas,25,62,13,13,9,56,8,14,25,16,41,14
210,Nikola Mirotic,34,182,34,48,9,84,6,34,46,12,81,52
211,Nikola Pekovic,118,174,17,0,1,0,1,17,0,0,0,0
212,Nikola Vucevic,329,411,96,0,75,2,100,116,0,73,3,1
213,Norris Cole,63,148,40,23,42,51,30,31,30,28,36,34
214,O.J. Mayo,74,150,82,75,24,72,18,49,52,27,56,21
215,Omer Asik,16,392,1,0,0,0,1,2,0,0,0,0
216,Omri Casspi,108,205,11,7,3,30,1,10,6,2,19,25
217,Otto Porter Jr.,50,99,26,26,27,28,23,36,20,26,19,10
218,Patrick Beverley,69,107,16,77,4,63,2,10,55,1,107,21
219,Patrick Patterson,72,96,46,53,7,76,3,20,50,8,63,40
220,Patty Mills,19,45,20,24,9,48,25,18,25,18,56,28
221,Pau Gasol,272,415,133,10,69,2,117,82,11,39,0,2
222,Paul Millsap,171,391,58,27,14,44,17,50,25,13,65,55
223,Paul Pierce,42,141,38,27,22,87,35,39,32,36,104,53
224,PJ Hairston,20,49,4,16,6,55,5,15,8,7,59,23
225,PJ Tucker,65,175,32,77,16,35,16,25,81,15,37,22
226,Quincy Acy,26,110,28,12,18,11,23,43,12,23,17,7
227,Rajon Rondo,105,219,36,9,62,21,35,47,21,55,19,15
228,Ramon Sessions,95,119,13,6,14,27,8,16,5,9,11,11
229,Randy Foye,24,52,16,30,9,89,11,12,24,15,87,30
230,Reggie Jackson,212,297,68,10,54,76,51,38,13,35,53,86
231,Richard Jefferson,41,89,9,32,3,43,6,8,33,12,36,12
232,Ricky Rubio,6,41,25,5,29,18,20,12,7,35,10,11
233,Robert Covington,64,175,23,47,12,128,9,23,40,4,170,59
234,Robin Lopez,113,257,11,0,4,0,16,24,0,11,1,0
235,Rodney Hood,59,59,15,16,14,44,19,24,20,14,53,34
236,Rodney Stuckey,112,222,69,27,31,32,41,72,17,66,48,15
237,Ronnie Price,19,47,7,13,10,36,12,7,6,12,30,22
238,Roy Hibbert,230,184,51,0,13,1,59,115,0,56,1,0
239,Rudy Gay,272,268,82,24,37,60,57,128,26,52,65,42
240,Rudy Gobert,45,371,2,0,0,0,4,3,0,1,0,1
241,Russell Westbrook,193,545,103,9,65,96,86,74,7,117,80,94
242,Ryan Anderson,41,179,72,29,15,115,16,35,26,12,115,71
243,Ryan Kelly,51,53,20,14,8,41,12,19,18,12,35,25
244,Serge Ibaka,99,175,72,20,34,61,89,63,18,49,39,67
245,Shabazz Muhammad,99,152,44,16,10,16,8,25,6,8,8,5
246,Shabazz Napier,15,37,8,16,14,39,10,7,15,19,33,14
247,Shane Larkin,50,144,27,4,23,38,21,28,6,23,40,28
248,Shaun Livingston,129,117,72,0,4,0,8,57,0,7,1,0
249,Shelvin Mack,44,66,7,9,8,34,7,17,12,16,44,28
250,Solomon Hill,86,247,33,39,16,70,13,26,33,5,39,25
251,Spencer Hawes,61,103,22,12,10,58,10,19,18,14,34,53
252,Stephen Curry,126,284,62,38,67,178,45,48,44,63,217,161
253,Steve Blake,7,27,14,35,10,68,14,23,29,13,47,30
254,Steven Adams,110,273,9,0,0,0,0,4,0,1,1,0
255,Taj Gibson,96,301,41,0,8,0,18,35,0,7,0,0
256,Tarik Black,45,208,1,0,0,0,9,7,0,2,0,0
257,Terrence Jones,71,172,10,1,1,11,2,5,1,1,17,6
258,Terrence Ross,85,110,56,86,18,70,38,31,53,25,131,46
259,Thabo Sefolosha,28,110,11,24,4,11,0,13,19,5,21,3
260,Thaddeus Young,232,428,69,17,38,36,42,19,2,25,24,35
261,Thomas Robinson,37,164,12,0,6,0,18,17,0,4,0,0
262,Tiago Splitter,85,207,3,0,0,0,0,8,0,0,0,0
