Rank,PPG,TOperG,RedzoneTDDefensePcg,PtsAllowedperG,Power5,TOsL
10,44.1,32:13.6,59.38,19,1,10
11,31,31:14.7,57.89,18.4,1,18
12,33.3,31:15.2,51.22,17.4,1,22
13,45.3,27:39.1,70.15,37.2,1,24
14,40.8,30:19.9,48.39,21.5,0,21
15,31.8,33:55.5,62.22,27.9,1,15
16,39.5,29:58.5,52.63,22.1,1,29
17,37.6,28:20.0,58.33,26.8,0,22
18,49.3,26:33.0,59.18,22.4,0,15
19,32,33:38.8,65.63,20.6,1,25
20,29.3,27:41.6,43.48,22.7,0,24
21,27.9,34:06.7,52.5,17.6,1,18
22,33.6,28:05.0,55.77,29.3,1,24
23,30.6,29:51.0,54.29,15.1,1,19
24,29.2,28:29.6,69.23,23.4,1,19
25,33.3,27:58.9,55.56,20.3,0,21
1,41.2,29:17.9,60,24.1,1,17
2,41.6,33:42.8,63.16,12,0,13
3,47,27:54.1,42.5,18.7,1,24
4,40.3,34:33.6,65.52,17.4,1,17
5,38.8,32:10.7,50,14.3,1,15
6,37.2,30:17.6,47.22,21.8,1,18
7,41.5,32:57.2,61.76,20.5,1,9
8,29.7,30:10.1,65.63,18.2,1,24
9,45.1,30:37.8,41.38,12.8,0,19
10,35.7,30:46.1,32.26,13.5,1,15
11,41,34:19.1,46,21.4,0,19
12,36.5,30:04.9,56.41,23.4,1,24
13,44.2,27:41.1,59.57,26.4,1,22
14,29.5,30:30.5,55.56,22.3,1,19
15,29,31:32.1,42.5,19.8,1,21
16,33.9,31:56.4,58.54,20.6,1,13
17,31.4,29:50.7,43.75,19.6,1,23
18,29.8,29:08.2,40,16.1,1,18
19,31.2,29:39.4,47.92,21.9,1,30
20,30.9,31:16.4,44.74,17.4,1,24
21,32.1,32:45.6,64.29,17.1,0,19
22,30.9,30:53.8,46,23.1,1,26
23,32.2,28:58.8,49.09,22.2,1,14
24,41.4,30:34.9,62.79,30.3,0,19
25,31.8,32:03.3,60.98,21.3,1,22
1,32.1,33:31.0,33.33,11.7,1,12
2,39.3,30:33.9,52.94,16.7,1,28
3,35.9,30:53.1,42.42,12.4,1,16
4,42.2,30:34.4,58.62,17.1,0,14
5,29,31:29.7,55.56,12.5,1,18
6,38.3,31:47.5,50,12.8,0,23
7,23.2,30:58.5,48.28,15.4,1,28
8,38.6,25:46.5,71.43,23.1,0,10
9,28.8,32:36.6,37.93,12.2,1,17
